🔫｜浙江,#genre#

杭州综合,http://218.71.45.167:9999/rtp/233.50.201.173:5140
杭州明珠,http://218.71.45.167:9999/rtp/233.50.201.174:5140
杭州生活,http://218.71.45.167:9999/rtp/233.50.201.175:5140
杭州影视,http://218.71.45.167:9999/rtp/233.50.201.176:5140
杭州青少,http://218.71.45.167:9999/rtp/233.50.201.177:5140
浙江公共,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
淳安电视频道,https://wtmtyoutlive.watonemt.com/f2p7vq/lf76v9.m3u8?zzhed
淳安电视频道,https://wtmtylive.yunshicloud.com/tbziu1/ad592j.m3u8?zzhed


杭州导视,http://live.cooltv.top/tv/hz.php?id=22
杭州影视,http://live.cooltv.top/tv/hz.php?id=21
杭州明珠,http://live.cooltv.top/tv/hz.php?id=17
杭州生活,http://live.cooltv.top/tv/hz.php?id=18
杭州综合,http://live.cooltv.top/tv/hz.php?id=16

杭州导视,http://125.210.150.58:9090/live/hzgq-hzdsgq-h264.m3u8
杭州影视,http://125.210.150.58:9090/live/hzgq-hzysgq-h264.m3u8
杭州明珠,http://125.210.150.58:9090/live/hzgq-xhmzgq-h264.m3u8
杭州生活,http://125.210.150.58:9090/live/hzgq-hzshgq-h264.m3u8
杭州综合,http://125.210.150.58:9090/live/hzgq-hzzhgq-h264.m3u8
杭州青少,http://125.210.150.58:9090/live/hzgq-hzsegq-h264.m3u8








💘｜中央,#genre#
CCTV1,http://mdxgh.tpddns.cn:88/mdxgh/cctv1
CCTV2,http://mdxgh.tpddns.cn:88/mdxgh/cctv2
CCTV3,http://mdxgh.tpddns.cn:88/mdxgh/cctv3
CCTV4,http://mdxgh.tpddns.cn:88/mdxgh/cctv4
CCTV5,http://mdxgh.tpddns.cn:88/mdxgh/cctv5
CCTV6,http://mdxgh.tpddns.cn:88/mdxgh/cctv6
CCTV7,http://mdxgh.tpddns.cn:88/mdxgh/cctv7
CCTV8,http://mdxgh.tpddns.cn:88/mdxgh/cctv8
CCTV9,http://mdxgh.tpddns.cn:88/mdxgh/cctv9
CCTV10,http://mdxgh.tpddns.cn:88/mdxgh/cctv10
CCTV11,http://mdxgh.tpddns.cn:88/mdxgh/cctv11
CCTV12,http://mdxgh.tpddns.cn:88/mdxgh/cctv12
CCTV13,http://mdxgh.tpddns.cn:88/mdxgh/cctv13
CCTV14,http://mdxgh.tpddns.cn:88/mdxgh/cctv14
CCTV15,http://mdxgh.tpddns.cn:88/mdxgh/cctv15
CCTV16,http://mdxgh.tpddns.cn:88/mdxgh/cctv16
CCTV17,http://mdxgh.tpddns.cn:88/mdxgh/cctv17
CCTV1,http://115.239.104.84:9999/udp/233.50.200.130:5140
CCTV1,http://115.239.104.84:9999/udp/233.50.201.118:5140
CCTV1,http://115.239.104.84:9999/udp/233.50.201.118:5140
CCTV1,http://115.239.104.84:9999/udp/233.50.201.222:5140
CCTV10,http://115.239.104.84:9999/udp/233.50.201.122:5140
CCTV10,http://115.239.104.84:9999/udp/233.50.201.122:5140
CCTV12,http://115.239.104.84:9999/udp/233.50.201.123:5140
CCTV12,http://115.239.104.84:9999/udp/233.50.201.123:5140
CCTV13,http://115.239.104.84:9999/udp/233.50.201.246:5140
CCTV13,http://115.239.104.84:9999/udp/233.50.201.246:5140
CCTV14,http://115.239.104.84:9999/udp/233.50.200.20:5140
CCTV14,http://115.239.104.84:9999/udp/233.50.201.124:5140
CCTV14,http://115.239.104.84:9999/udp/233.50.201.124:5140
CCTV16,http://115.239.104.84:9999/udp/233.50.201.192:5140
CCTV16,http://115.239.104.84:9999/udp/233.50.201.192:5140
CCTV2,http://115.239.104.84:9999/udp/233.50.200.25:5140
CCTV2,http://115.239.104.84:9999/udp/233.50.201.119:5140
CCTV2,http://115.239.104.84:9999/udp/233.50.201.119:5140
CCTV3,http://115.239.104.84:9999/udp/233.50.201.196:5140
CCTV3,http://115.239.104.84:9999/udp/233.50.201.196:5140
CCTV5,http://115.239.104.84:9999/udp/233.50.201.197:5140
CCTV5,http://115.239.104.84:9999/udp/233.50.201.197:5140
CCTV5,http://115.239.104.84:9999/udp/233.50.201.220:5140
CCTV5,http://115.239.104.84:9999/udp/233.50.201.220:5140
CCTV6,http://115.239.104.84:9999/udp/233.50.201.198:5140
CCTV6,http://115.239.104.84:9999/udp/233.50.201.198:5140
CCTV7,http://115.239.104.84:9999/udp/233.50.200.24:5140
CCTV7,http://115.239.104.84:9999/udp/233.50.200.24:5140
CCTV7,http://115.239.104.84:9999/udp/233.50.201.120:5140
CCTV7,http://115.239.104.84:9999/udp/233.50.201.120:5140
CCTV8,http://115.239.104.84:9999/udp/233.50.201.199:5140
CCTV8,http://115.239.104.84:9999/udp/233.50.201.199:5140
CCTV9,http://115.239.104.84:9999/udp/233.50.201.121:5140
CCTV9,http://115.239.104.84:9999/udp/233.50.201.121:5140
CCTV1,http://110.7.128.2:8096/tsfile/live/0001_1.m3u8
CCTV3,http://110.7.128.2:8096/tsfile/live/0003_1.m3u8
CCTV4,http://110.7.128.2:8096/tsfile/live/0004_1.m3u8
CCTV5,http://110.7.128.2:8096/tsfile/live/0005_1.m3u8
CCTV6,http://110.7.128.2:8096/tsfile/live/0006_1.m3u8
CCTV9,http://110.7.128.2:8096/tsfile/live/0009_1.m3u8
CCTV10,http://39.172.91.235:2082/tsfile/live/0010_1.m3u8
CCTV11,http://39.172.91.235:2082/tsfile/live/0011_1.m3u8
CCTV12,http://39.172.91.235:2082/tsfile/live/0012_1.m3u8
CCTV2,http://39.172.91.235:2082/tsfile/live/0002_1.m3u8
CCTV5,http://39.172.91.235:2082/tsfile/live/0005_1.m3u8
CCTV11,http://5.28.39.4:2082/tsfile/live/0011_1.m3u8
CCTV1,http://123.120.200.46:8888/rtp/239.3.1.129:8008
CCTV10,http://123.120.200.46:8888/rtp/239.3.1.63:8116
CCTV11,http://123.120.200.46:8888/rtp/239.3.1.152:8120
CCTV12,http://123.120.200.46:8888/rtp/239.3.1.64:8124
CCTV13,http://123.120.200.46:8888/rtp/239.3.1.124:8128
CCTV14,http://123.120.200.46:8888/rtp/239.3.1.65:8132
CCTV15,http://123.120.200.46:8888/rtp/239.3.1.153:8136
CCTV16,http://123.120.200.46:8888/rtp/239.3.1.184:8001
CCTV17,http://123.120.200.46:8888/rtp/239.3.1.151:8144
CCTV2,http://123.120.200.46:8888/rtp/239.3.1.60:8084
CCTV3,http://123.120.200.46:8888/rtp/239.3.1.172:8001
CCTV4,http://123.120.200.46:8888/rtp/239.3.1.105:8092
CCTV4,http://123.120.200.46:8888/rtp/239.3.1.213:4220
CCTV4,http://123.120.200.46:8888/rtp/239.3.1.214:4220
CCTV5,http://123.120.200.46:8888/rtp/239.3.1.130:8004
CCTV5,http://123.120.200.46:8888/rtp/239.3.1.173:8001
